Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
        Greenland,0.0018225,0.001923072,0.002029797,0.001944124,0.002016336,0.001990508,0.0025864,0.002858508,0.00325486,0.003254472,0.003568334,0.00372792,0.003904661,0.003665104
        Grenada,0,0,0,0,9.88E-07,9.85E-07,9.76E-07,2.05E-05,3.01E-05,2.95E-05,2.96E-05,0.00014265,0.000018638,0.000027696
        Guadeloupe,0.00216675,0.002343744,0.002179782,0.002221856,0.002243668,0.002079194,0.00213744,0.002126808,0.002263828,0.001941264,0.001927282,0.00207318,0.001947671,0.001818704
        Guam,0,0,0,0,0,0,9.76E-07,1.95E-06,1.94E-06,5.71E-06,0.000019082,0.00002853,0.000288889,0.000609312
        Guatemala,0.041950061,0.040313428,0.04209749,0.04540713,0.046140436,0.046997824,0.041841836,0.055675449,0.058057697,0.061219496,0.065791454,0.068595332,0.060929494,0.065885872
        Guinea,0.0040095,0.005498784,0.004889511,0.004523064,0.005268172,0.005163496,0.005054704,0.004711172,0.004021452,0.00463334,0.004598762,0.00406077,0.008321867,0.010099808
        Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0.000002853,0.000009319,0.000009232
        Guyana,0.000516375,0.000560896,0.000451955,0.000449331,0.000468502,0.000447372,0.00044408,0.000464386,0.000522721,0.000437736,0.000400722,0.00053256,0.000532115,0.000462523
        Haiti,0.0025515,0.002574112,0.002619738,0.002658292,0.001502368,0.001763866,0.0020008,0.00171608,0.001174664,0.002103036,0.001354822,0.00086541,0.000857348,0.00083088
        Hawaiian Trade Zone,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Honduras,0.018955567,0.015990116,0.01879872,0.021771778,0.02314061,0.024253931,0.028508168,0.032909571,0.03073777,0.032192784,0.031092196,0.031066388,0.035194866,0.040825911
        Hong Kong,0.025211268,0.023031,0.022188236,0.021740947,0.023634572,0.02474003,0.024685344,0.027868932,0.027315816,0.032658972,0.029290823,0.031927604,0.036982836,0.036554912
        Hungary,0.137298164,0.152074382,0.176221958,0.161970571,0.166054706,0.17030462,0.187607283,0.187079981,0.189386929,0.192899608,0.200179482,0.213270618,0.221118728,0.217038349
        Iceland,0.08668961,0.086996961,0.08697728,0.098422003,0.118433078,0.161740852,0.163637225,0.164018018,0.164315354,0.165701501,0.172406933,0.170119827,0.173541738,0.168399762
        India,1.120515885,1.213570292,1.424069131,1.607859463,1.72748783,1.613692188,1.63727729,1.745100687,2.104673661,2.032764425,2.310680368,2.376534206,2.36102889,2.643291466
